VALUE,EVT_NAME,EVT_LF,EVT_PHYS,R,G,B,RED,GREEN,BLUE
7161,Northern Rocky Mountain Conifer Swamp,Tree,Riparian,4,45,117,0.015686,0.176471,0.458824
7165,Northern Rocky Mountain Foothill Conifer Wooded Steppe,Tree,Conifer,55,146,173,0.215686,0.572549,0.678431
7166,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Tree,Conifer,0,51,0,0,0.2,0
7167,Rocky Mountain Poor-Site Lodgepole Pine Forest,Tree,Conifer,163,240,219,0.639216,0.941176,0.858824
7168,Northern Rocky Mountain Avalanche Chute Shrubland,Shrub,Shrubland,128,97,69,0.501961,0.380392,0.270588
7169,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrub,Shrubland,128,97,69,0.501961,0.380392,0.270588
7170,Klamath-Siskiyou Xeromorphic Serpentine Savanna,Tree,Conifer,224,252,192,0.878431,0.988235,0.752941
7171,North Pacific Alpine and Subalpine Dry Grassland,Herb,Grassland,255,114,48,1,0.447059,0.188235
7172,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,Tree,Conifer,0,204,0,0,0.8,0
7173,North Pacific Wooded Volcanic Flowage,Tree,Conifer,163,240,219,0.639216,0.941176,0.858824
7174,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Tree,Conifer,0,71,0,0,0.278431,0
7177,California Coastal Closed-Cone Conifer Forest and Woodland,Tree,Conifer,224,252,192,0.878431,0.988235,0.752941
7178,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Tree,Conifer,4,45,117,0.015686,0.176471,0.458824
7179,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,Tree,Conifer,214,255,181,0.839216,1,0.709804
7191,Recently Logged-Herb and Grass Cover,Herb,Grassland,255,68,25,1,0.266667,0.098039
7192,Recently Logged-Shrub Cover,Shrub,Shrubland,255,68,25,1,0.266667,0.098039
7193,Recently Logged-Tree Cover,Tree,Conifer,255,68,25,1,0.266667,0.098039
7195,Recently Burned-Herb and Grass Cover,Herb,Grassland,255,59,20,1,0.231373,0.078431
7196,Recently Burned-Shrub Cover,Shrub,Shrubland,255,59,20,1,0.231373,0.078431
7197,Recently Burned-Tree Cover,Tree,Conifer,255,59,20,1,0.231373,0.078431
7198,Recently Disturbed Other-Herb and Grass Cover,Herb,Grassland,255,68,25,1,0.266667,0.098039
7199,Recently Disturbed Other-Shrub Cover,Shrub,Shrubland,255,68,25,1,0.266667,0.098039
7200,Recently Disturbed Other-Tree Cover,Tree,Conifer,255,68,25,1,0.266667,0.098039
7207,Central Mixedgrass Prairie Shrubland,Shrub,Shrubland,255,241,140,1,0.945098,0.54902
7234,Mediterranean California Mesic Serpentine Chaparral,Shrub,Shrubland,224,252,192,0.878431,0.988235,0.752941
7238,Laurentian-Acadian Northern Oak Forest,Tree,Hardwood,174,245,224,0.682353,0.960784,0.878431
7239,Laurentian-Acadian Northern Pine-(Oak) Forest,Tree,Conifer-Hardwood,174,245,224,0.682353,0.960784,0.878431
7240,Laurentian-Acadian Hardwood Forest,Tree,Hardwood,0,92,0,0,0.360784,0
7241,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Tree,Conifer-Hardwood,0,92,0,0,0.360784,0
7242,Laurentian Oak Barrens,Tree,Hardwood,174,245,224,0.682353,0.960784,0.878431
7243,Laurentian Pine-Oak Barrens,Tree,Conifer-Hardwood,174,245,224,0.682353,0.960784,0.878431
7247,Southern Appalachian Grass Bald,Herb,Grassland,82,52,34,0.321569,0.203922,0.133333
7248,Northern Atlantic Coastal Plain Dune and Swale Grassland,Herb,Grassland,255,98,41,1,0.384314,0.160784
7249,Atlantic Coastal Plain Peatland Pocosin and Canebrake Shrubland,Shrub,Riparian,91,195,199,0.356863,0.764706,0.780392
7250,Inter-Mountain Basins Curl-leaf Mountain Mahogany Shrubland,Shrub,Shrubland,155,235,216,0.607843,0.921569,0.847059
7256,Apacherian-Chihuahuan Semi-Desert Grassland,Herb,Grassland,255,204,51,1,0.8,0.2
7260,Mediterranean California Lower Montane Black Oak Forest and Woodland,Tree,Hardwood,0,189,0,0,0.741176,0
7261,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,Tree,Conifer-Hardwood,0,189,0,0,0.741176,0
7262,East Cascades Oak Forest and Woodland,Tree,Hardwood,214,255,181,0.839216,1,0.709804
7263,East Cascades Oak-Ponderosa Pine Forest and Woodland,Tree,Conifer-Hardwood,214,255,181,0.839216,1,0.709804
7264,California Lower Montane Blue Oak Woodland and Savanna,Tree,Hardwood,121,217,207,0.47451,0.85098,0.811765
7265,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,Tree,Conifer-Hardwood,121,217,207,0.47451,0.85098,0.811765
7268,Eastern Great Plains Tallgrass Aspen Shrubland,Shrub,Shrubland,192,255,138,0.752941,1,0.541176
7270,Klamath-Siskiyou Xeromorphic Serpentine Chaparral,Shrub,Shrubland,224,252,192,0.878431,0.988235,0.752941
7272,Eastern Boreal Floodplain Shrubland,Shrub,Riparian,50,137,168,0.196078,0.537255,0.658824
7286,Paleozoic Plateau Bluff and Talus Herbaceous,Herb,Grassland,85,187,194,0.333333,0.733333,0.760784
7288,Acadian-Appalachian Alpine Tundra Meadow,Herb,Grassland,82,52,34,0.321569,0.203922,0.133333
